,chromosome,start,end
TBC1D24,chr16,2525147,2555735
TYMS,chr18,657604,673578
RHOQP1,chr14,50066712,50067290
NDST3,chr4,118954773,119179803
SPON2,chr4,1160720,1202750
SPDL1,chr5,169010638,169031782
TMEM253,chr14,21567096,21571883
AK8,chr9,135600965,135754164
CACNB1,chr17,37329709,37353956
PPP2R5D,chr6,42952237,42980080
ITM2BP1,chr17,25939614,25940277
POLR3F,chr20,18447771,18465287
CDH19,chr18,64168320,64271375
CYP2C19,chr10,96447911,96613017
AHRR,chr5,304291,438406
NOS2P1,chr17,25978360,25992738
OR5AU1,chr14,21623026,21624222
FUNDC1,chrX,44382885,44402247
CCDC53,chr12,102406705,102455927
EML2,chr19,46110252,46148887
TXN2,chr22,36863083,36878077
ATP6V0C,chr16,2563871,2570219
NPB,chr17,79858621,79860781
EPPK1,chr8,144939497,144952632
SMIM19,chr8,42396298,42409603
CABYRP1,chr3,54081776,54082820
TAF1A,chr1,222731244,222763275
PPIL2,chr22,22006559,22054304
RPS15P5,chr3,54660242,54660673
ESRG,chr3,54666149,54673884
DUSP21,chrX,44703249,44704130
CARTPT,chr5,71014990,71016875
CACNA2D3-AS1,chr3,54908632,54935282
DMBT1,chr10,124320181,124403252
WDFY2,chr13,52158644,52336171
RN7SL576P,chr17,26029938,26030241
C9orf9,chr9,135753414,135765588
UBE2N,chr12,93799449,93836038
DSEL,chr18,65173819,65184217
WNT5A-AS1,chr3,55521727,55522336
LHB,chr19,49519237,49520338
PPP6R3,chr11,68228186,68382802
MIR3938,chr3,55886520,55886622
TUFT1,chr1,151512781,151556059
TRIM8,chr10,104404253,104418164
CYP27C1,chr2,127941696,127977654
TM2D1,chr1,62146718,62191095
CGB,chr19,49526126,49527590
B4GALNT3,chr12,569530,672675
HSD3B7,chr16,30996519,31000473
CT62,chr15,71402583,71407833
PABPC5,chrX,90689594,90693583
GPR6,chr6,110299514,110301921
SLC11A2,chr12,51373184,51422349
FOXRED2,chr22,36883237,36903148
ZSCAN18,chr19,58595205,58629794
CHST3,chr10,73724123,73773322
ANKRD13B,chr17,27916787,27941779
TRAPPC10,chr21,45432200,45526433
LINC00615,chr12,91311800,91342446
SCGB3A2,chr5,147250245,147261754
CLEC2B,chr12,10005583,10022735
CGB2,chr19,49535169,49536495
C5orf51,chr5,41904290,41921738
DHRS12,chr13,52342129,52378293
TMX3,chr18,66340925,66382535
CGB1,chr19,49538831,49552006
DGKA,chr12,56321103,56347811
AMDHD2,chr16,2570358,2581423
SPOCK2,chr10,73818793,73848790
SFXN4,chr10,120900279,120925179
CGB5,chr19,49547141,49548568
WASF1,chr6,110421022,110501207
EIF2S1,chr14,67826714,67853233
TSC1,chr9,135766735,135820020
STX1B,chr16,31000577,31021949
CYP2C9,chr10,96698415,96749147
TLN1,chr9,35696945,35732392
CATSPER4,chr1,26517052,26529459
FOXA1,chr14,38059189,38069245
C5orf46,chr5,147260289,147286101
SOCS5,chr2,46926091,46990268
PCDH11X,chrX,91034260,91878229
HNRNPC,chr14,21677295,21737653
SLC7A9,chr19,33321415,33360672
BUB1B,chr15,40453224,40513337
ZNF329,chr19,58637619,58666477
LIMD1,chr3,45596886,45727830
DVL3,chr3,183873176,183891398
ACSS3,chr12,81331594,81650533
CCDC70,chr13,52436117,52440366
KLRF2,chr12,10034088,10048432
DIABLO,chr12,122692210,122712081
MIR3654,chr11,62327075,62359003
LINC01118,chr2,47043807,47049796
CLEC2A,chr12,10051272,10084980
CEP85,chr1,26560691,26605299
NDUFS1,chr2,206979541,207024327
RNU2-31P,chr3,159526205,159526359
CCNI,chr4,77968311,77997158
SEL1L,chr14,81937893,82000205
LINC01119,chr2,47043836,47086146
STX4,chr16,31044210,31054296
IL12A-AS1,chr3,159631189,159943086
ALPPL2,chr2,233271553,233275424
ANKRD36,chr2,97779233,97930258
BRD7P2,chr3,159818478,159820661
CLEC12A,chr12,10103915,10148293
ZNF274,chr19,58694396,58724928
CHRNB3,chr8,42552519,42592550
MIA3,chr1,222791428,222841354
KDM6A,chrX,44732757,44971847
MIR15B,chr3,160122376,160122473
MIR16-2,chr3,160122533,160122613
TTC6,chr14,38065052,38510647
RNU7-136P,chr3,160190136,160190204
SH3BGRL3,chr1,26605667,26608007
MAP1LC3B2,chr12,116997186,117014425
CEMP1,chr16,2577081,2581420
PCYT2,chr17,79858841,79869340
SCARNA7,chr3,160232695,160233024
KRT8P12,chr3,160283235,160287036
RPS29P22,chr17,26443265,26443432
ERCC3,chr2,128014866,128051752
RIC3,chr11,8127597,8190602
ALPI,chr2,233320833,233324742
INADL,chr1,62208149,62629592
CHRNA6,chr8,42607763,42651535
MIR4468,chr7,137808504,137808567
NUB1,chr7,151038785,151075535
C12orf49,chr12,117153593,117175875
EIF3D,chr22,36906897,36925483
CEP89,chr19,33369902,33462897
SDC2,chr8,97505579,97624000
SP3,chr2,174771187,174830430
GFI1B,chr9,135820932,135867083
LDHA,chr11,18415935,18429972
THAP1,chr8,42691817,42698468
PDIA3,chr15,44038590,44065477
UQCRFS1P2,chr7,138386352,138387807
MYO9A,chr15,72114632,72410918
RPL6P8,chr3,160302733,160303575
RNU6-1272P,chr7,138561105,138561211
PLEK2,chr14,67853700,67878917
NINJ2,chr12,673462,772945
EEF1GP4,chr3,161042701,161044007
RNU6-206P,chr7,139000037,139000140
SPINK5,chr5,147405246,147516852
PILRA,chr7,99965153,99997719
RNU6-911P,chr7,139133486,139133589
ERHP1,chr7,139218986,139219295
JHDM1D-AS1,chr7,139877061,139879440
ECEL1,chr2,233344537,233352538
SNX27,chr1,151584541,151671567
MCFD2,chr2,47129009,47168994
RNU6-797P,chr7,139909363,139909471
RNU1-58P,chr7,139941670,139941832
TUT1,chr11,62342517,62359649
HUWE1,chrX,53559057,53713673
PPP1R2P6,chr7,139992552,139993139
USP43,chr17,9548015,9633008
RNA5SP247,chr7,140070241,140070345
RNF170,chr8,42704780,42752433
RNA5SP248,chr7,140086581,140086707
ENOSF1,chr18,670324,712676
LMO1,chr11,8245851,8290263
RN7SL771P,chr7,140345644,140345924
NDUFB2-AS1,chr7,140395136,140396877
UBXN11,chr1,26607819,26644854
ATP7B,chr13,52506809,52585630
TMEM229B,chr14,67913801,68000456
PDPK1,chr16,2587965,2653189
KEAP1,chr19,10596796,10614417
YPEL1,chr22,22051833,22090123
PIK3C3,chr18,39535171,39667794
ASAH2,chr10,51942538,52008370
PMS2,chr7,6012870,6048756
PYY2,chr17,26553589,26555091
CCNG2,chr4,78078304,78354542
CREB3,chr9,35732332,35737001
SACM1L,chr3,45730548,45786916
PXMP2,chr12,133264192,133297276
FLRT2,chr14,85996488,86095034
IL34,chr16,70613798,70694585
MAPK1,chr22,22108789,22221970
FBXO4,chr5,41925356,41941845
HMGA1,chr6,34204650,34214008
GTF3C5,chr9,135906076,135933890
ABHD14B,chr3,52002526,52017425
HSD17B4,chr5,118788138,118972894
S1PR5,chr19,10623623,10628607
MTA2,chr11,62360686,62369312
FAM98A,chr2,33808725,33824449
NAP1L3,chrX,92925929,92928567
PLEC,chr8,144989321,145050902
ELL3,chr15,44064798,44069741
MBOAT2,chr2,8992820,9143942
PSMC1P7,chr3,161046712,161048026
STK33,chr11,8413418,8615836
FAM133A,chrX,92929012,92967273
TOMM22P6,chr3,162204329,162204737
C19orf40,chr19,33463115,33469128
ZCWPW1,chr7,99998449,100026615
TNIK,chr3,170779128,171178197
CPQ,chr8,97657455,98161882
SORBS2,chr4,186506598,186877806
ATG4D,chr19,10654571,10664094
WDR25,chr14,100842755,100996640
NADK,chr1,1682671,1711896
RNFT2,chr12,117176096,117291436
TEN1,chr17,73975301,73996667
CACNG2,chr22,36959968,37099603
AIDA,chr1,222841355,222886552
PPY2,chr17,26574470,26575315
METTL6,chr3,15422782,15482073
MTSS1L,chr16,70695107,70719969
MAP1B,chr5,71403061,71505395
CXorf36,chrX,45007619,45060146
KRT18P55,chr17,26603012,26644809
TRABD2A,chr2,85048774,85134132
ASCC1,chr10,73856278,73976892
CLEC1B,chr12,10138241,10166023
IFT27,chr22,37154246,37172300
CETN3,chr5,89688078,89705603
EAF1,chr3,15468862,15484120
PAFAH1B2,chr11,117014983,117047610
GBA2,chr9,35736863,35749983
DIAPH2,chrX,95939662,96859996
MRPL42,chr12,93861264,93897545
GSK3B,chr3,119540170,119813264
CT64,chr3,162845711,163079351
CYP2C8,chr10,96796530,96829254
KRBOX4,chrX,46306292,46356857
CELF3,chr1,151674880,151689290
ALG11,chr13,52586534,52603800
CCDC102B,chr18,66382446,66722426
ZNF544,chr19,58739960,58788815
C19orf83,chr19,46144752,46146098
PAK6,chr15,40509629,40569688
RHPN2,chr19,33469499,33555794
CGB8,chr19,49550895,49552400
ZNF668,chr16,31072164,31085641
DOCK2,chr5,169064251,169510386
RBBP9,chr20,18467184,18477887
CXCL13,chr4,78432907,78532988
AIMP2,chr7,6048876,6063465
PLEKHH1,chr14,68000018,68056329
BROX,chr1,222885895,222908538
UTP14C,chr13,52598827,52607736
MIR1263,chr3,163889259,163889344
KCTD5,chr16,2732476,2759031
MIR720,chr3,164059129,164059238
L1TD1,chr1,62660503,62678000
NUP37,chr12,102467967,102513902
CGB7,chr19,49557531,49562117
POLDIP2,chr17,26673659,26684545
HRK,chr12,117293949,117319246
GIPR,chr19,46171502,46186982
PWP2,chr21,45527171,45551063
ARL3,chr10,104433488,104474164
NEK5,chr13,52611093,52703214
PVALB,chr22,37196728,37215523
GNB1,chr1,1716729,1822495
ZNF674,chrX,46357162,46404892
NTF4,chr19,49559050,49568333
PPM1F,chr22,22273793,22307209
PRSS27,chr16,2762419,2770552
AKAP1,chr17,55162453,55198710
CEL,chr9,135937365,135947248
KANK4,chr1,62702651,62785085
ZNF646,chr16,31085743,31095517
MARS,chr12,57869228,57911352
RN7SKP45,chr3,56106132,56106435
RNA5SP133,chr3,56219132,56219250
ARHGEF3-AS1,chr3,56974068,56994882
DOK6,chr18,67068291,67516323
KCNA7,chr19,49570675,49576198
PDK2,chr17,48172101,48189516
RNU6-1181P,chr3,57498177,57498282
WDSUB1,chr2,160092304,160143310
RNF7P1,chr3,57505396,57505737
RNU6-108P,chr3,57521979,57522085
RIT2,chr18,40323192,40695657
PGAM5,chr12,133287405,133299228
RNU6-483P,chr3,57534565,57534672
NCF4,chr22,37257030,37274057
GALC,chr14,88304164,88460009
CHST7,chrX,46433219,46457843
PRSS12,chr4,119201193,119274158
RNU6ATAC26P,chr3,57605174,57605299
GHR,chr5,42423879,42721979
CNOT6L,chr4,78634541,78740769
PPIAP16,chr3,57927545,57928031
WNK1,chr12,861759,1020618
PPFIA2,chr12,81652045,82153332
FLNB-AS1,chr3,58148274,58156363
SIDT2,chr11,117049449,117068160
FAM177B,chr1,222910549,222924147
SLC9A7,chrX,46464753,46618490
THRA,chr17,38214543,38250120
RNF25,chr2,219528587,219537134
C5orf55,chr5,441645,443258
TRIM66,chr11,8633584,8693413
COLQ,chr3,15491640,15563258
CALML6,chr1,1846266,1848735
NEK3,chr13,52706775,52733996
SNRNP70,chr19,49588676,49611862
SEC23B,chr20,18488137,18542059
RGP1,chr9,35749203,35758572
C15orf56,chr15,40542865,40545170
KRI1,chr19,10663761,10676713
C21orf33,chr21,45553487,45565605
DISP1,chr1,222988406,223179337
C2orf78,chr2,74011316,74044274
CDK3,chr17,73996987,74002080
HOOK3,chr8,42752075,42885682
FAM25E,chr10,46310876,46313036
EXOC3,chr5,443273,472052
SYT4,chr18,40847843,40857615
METTL14,chr4,119606523,119636588
TMEM52,chr1,1849029,1850712
SRRM2,chr16,2802330,2822539
USP1,chr1,62901968,62917475
OR2H2,chr6,29555683,29556745
VAC14,chr16,70721342,70835064
TSPYL5,chr8,98285717,98290176
MSMP,chr9,35752987,35756610
USP6NL,chr10,11495945,11653753
RP2,chrX,46696375,46741793
EML3,chr11,62369690,62380237
PCLO,chr7,82383329,82792246
SFXN2,chr10,104474295,104503249
SERF2,chr15,44069285,44094787
TLR5,chr1,223282748,223316624
OLA1,chr2,174937175,175113426
TOP3B,chr22,22311397,22337213
SNRPD2,chr19,46190712,46195827
VPS33A,chr12,122714111,122751068
CSF2RB,chr22,37309670,37336491
STAMBP,chr2,74056086,74100786
C1orf222,chr1,1853396,1935276
MTDH,chr8,98656407,98740998
RIIAD1,chr1,151682909,151702281
CXorf31,chrX,46746852,46759138
CRIM1,chr2,36583069,36778278
FBXW8,chr12,117348761,117468953
NPR2,chr9,35792151,35809729
JADE3,chrX,46771711,46920641
QPCTL,chr19,46195741,46207247
THSD1,chr13,52951305,52980629
YES1,chr18,721588,812547
MRPL1,chr4,78783674,78873944
LIN7B,chr19,49617581,49621717
RALGDS,chr9,135973107,136039301
SUSD4,chr1,223394161,223537544
ANKLE2,chr12,133302254,133338474
MTND4P17,chr3,165877809,165878158
MOG,chr6,29624758,29640149
ZBTB12,chr6,31867384,31869769
TEX33,chr22,37387163,37403882
CORO6,chr17,27941774,27949925
PLCB2,chr15,40570377,40600136
TMSB10,chr2,85132749,85133795
MTND3P7,chr3,165878565,165878907
SSTR1,chr14,38677204,38682272
VPS36,chr13,52986737,53024763
RFC1,chr4,39289076,39367995
RPL27A,chr11,8703958,8736306
RGN,chrX,46937775,46952712
CLEC14A,chr14,38723308,38725574
PRSS53,chr16,31094746,31100949
CLEC12B,chr12,10163226,10171218
CD226,chr18,67498394,67629039
NR1D1,chr17,38249040,38256978
ADCYAP1,chr18,904944,912173
CHRNE,chr17,4801069,4806369
GABRD,chr1,1950780,1962192
DTD1,chr20,18568537,18744561
SEC24D,chr4,119643978,119759838
TPBG,chr6,83072923,83080545
SDHAP2,chr3,195384967,195412775
TST,chr22,37406900,37415681
CD52,chr1,26644448,26647014
KCMF1,chr2,85198216,85286595
EIF2AK1,chr7,6061881,6098861
MRPL9,chr1,151732119,151736040
STAT1,chr2,191829084,191885686
LAPTM4B,chr8,98787285,98865241
AGAP4,chr10,46321042,46349323
GPATCH1,chr19,33571786,33621448
CLEC9A,chr12,10183276,10218565
GAL,chr11,68451247,68458643
LDHC,chr11,18433854,18473605
C17orf107,chr17,4802713,4806227
CFB,chr6,31895475,31919861
C20orf78,chr20,18790372,18810797
VKORC1,chr16,31102163,31107301
ICOSLG,chr21,45642874,45660849
UBE3D,chr6,83602117,83775560
SOCS2,chr12,93963590,93977263
SEC23A,chr14,39501123,39578850
SCP2D1,chr20,18794370,18795033
YARS2,chr12,32880424,32908836
NDUFB11,chrX,47001615,47004903
AIM1L,chr1,26648350,26680621
COX5B,chr2,98262503,98264846
FBXO46,chr19,46213887,46234162
ABHD14A,chr3,52005442,52015212
C1orf65,chr1,223566715,223568812
HNRNPA1P9,chr7,87150777,87151726
CTBP1,chr4,1205236,1243741
MIR570,chr3,195426272,195426368
TCEB2,chr16,2821415,2827298
MPST,chr22,37415676,37425863
SENP8,chr15,72406599,72433311
TNK2-AS1,chr3,195634947,195638128
ST7,chr7,116593292,116870157
SGMS1,chr10,52065360,52384923
GP1BA,chr17,4835592,4838325
CDC40,chr6,110501344,110575478
RN7SL773P,chr3,195647715,195648000
RNU2-11P,chr3,195655460,195655646
SIX5,chr19,46268043,46272484
SLC25A11,chr17,4840425,4843546
SPAG8,chr9,35808042,35812269
ZNF8,chr19,58790318,58807254
CAPN8,chr1,223711349,223853436
CKAP2,chr13,53029564,53050763
CLEC1A,chr12,10222153,10264226
SLC24A3,chr20,19193290,19703581
ZSCAN22,chr19,58838385,58853698
ATRAID,chr2,27434895,27440046
METTL4,chr18,2537524,2571508
RFC4,chr3,186507669,186524847
C19orf73,chr19,49621655,49622397
GH2,chr17,61957578,61959295
C6orf1,chr6,34214157,34217247
A1BG,chr19,58856544,58864865
MSL1,chr17,38278551,38293042
ASAP2,chr2,9346894,9545812
DOCK7,chr1,62920399,63153969
KCTD17,chr22,37447779,37459430
BCKDK,chr16,31117428,31124110
MEPCE,chr7,100026413,100031741
PRKCZ,chr1,1981909,2116834
ZNF683,chr1,26688125,26701013
SETBP1,chr18,42260138,42648475
EVPL,chr17,74000583,74023533
OAZ3,chr1,151735445,151743808
PRSS33,chr16,2833954,2837949
RTTN,chr18,67671029,67873181
HINT2,chr9,35812957,35815351
TCF7L1,chr2,85360533,85537511
GRAMD2,chr15,72452148,72490126
ZNF497,chr19,58865723,58874214
RBM10,chrX,47004268,47046212
HUS1B,chr6,655939,656963
PRSS56,chr2,233385173,233390422
PPFIA3,chr19,49622646,49654283
DNMT3L,chr21,45666222,45682099
DMPK,chr19,46272975,46285810
ACY1,chr3,52009066,52023213
MBLAC2,chr5,89754020,89770585
MATN2,chr8,98881068,99048944
HNRNPA1L2,chr13,53191605,53217919
GBGT1,chr9,136028340,136039332
ZNF837,chr19,58878985,58892427
LIN28A,chr1,26737269,26756213
SLC9A3,chr5,473425,524447
SLC6A20,chr3,45796942,45838027
FNTA,chr8,42889337,42940931
SLC14A2,chr18,42792960,43263072
PKP2,chr12,32943679,33049774
CAPN2,chr1,223889295,223963720
PRSS21,chr16,2867164,2876305
PRDX3,chr10,120927215,120938345
CHRND,chr2,233390703,233401377
EIF4A1P13,chr7,88078103,88078332
RPS5,chr19,58897767,58906173
IGLV4-69,chr22,22385332,22385870
SUGT1,chr13,53226844,53275044
FEZ2,chr2,36778570,36873230
WDR86,chr7,151072995,151107813
TAGLN,chr11,117070037,117075498
TMPRSS6,chr22,37461476,37505603
CDKN2D,chr19,10677138,10679735
STK36,chr2,219536749,219567439
TPH2,chr12,72332626,72580398
SMIM9,chrX,154051623,154062937
FOXQ1,chr6,1312675,1314992
IGLV8-61,chr22,22453110,22453622
RPGRIP1,chr14,21756098,21819460
IGLV4-60,chr22,22516592,22517074
NDC80,chr18,2571510,2616634
FOXF2,chr6,1390069,1395832
OBP2B,chr9,136080664,136084630
IGLV6-57,chr22,22550113,22550860
TMEM8B,chr9,35814448,35854844
RIN2,chr20,19867165,19983101
MAEA,chr4,1283639,1333935
MAP3K2,chr2,128056306,128146041
IGLV11-55,chr22,22556057,22556600
CHST2,chr3,142838173,142841800
IGLV10-54,chr22,22569184,22569660
ACTR1B,chr2,98272431,98280570
VPREB1,chr22,22599087,22599927
ROM1,chr11,62379194,62382592
PQLC1P1,chr7,88239555,88239983
EEF1A1P28,chr7,88268328,88269730
F8,chrX,154064063,154255215
SEMA3E,chr7,82993222,83278326
AP1M2,chr19,10683347,10697991
SLC9A9,chr3,142984064,143567373
ZG16B,chr16,2880170,2888967
KLB,chr4,39408473,39453156
RNU6-274P,chr7,89383934,89384040
STEAP2-AS1,chr7,89511667,89840949
HYDIN,chr16,70841281,71264625
IGLV5-52,chr22,22673082,22673581
SURF6,chr9,136197552,136203235
METTL24,chr6,110567131,110679475
IGLV1-51,chr22,22676828,22677336
DPY19L2P4,chr7,89748714,89754914
GEMIN2,chr14,39583427,39606177
IGLV1-50,chr22,22681658,22682172
ZNF584,chr19,58912871,58929694
RPA4,chrX,96138907,96140446
IGLV9-49,chr22,22697539,22698084
IGLV5-48,chr22,22707289,22707781
AKR1C5P,chr10,5164279,5177418
LDHAL6A,chr11,18477371,18501147
IGLV1-47,chr22,22712087,22712608
SLC14A1,chr18,43304092,43332485
DDO,chr6,110712974,110736765
BEGAIN,chr14,101003486,101053750
IGLV7-46,chr22,22723982,22724454
RN7SKP298,chr3,166387817,166387910
PSAT1P4,chr3,166408975,166409503
LECT1,chr13,53277399,53313947
MTL5,chr11,68474908,68519032
PCDH19,chrX,99546642,99665271
PRSS22,chr16,2902728,2908171
IGLV5-45,chr22,22730355,22730874
CBX1P5,chr3,166528797,166529355
FAM221B,chr9,35816388,35828744
IGLV1-44,chr22,22735135,22735715
CRADD,chr12,94071151,94288616
AIRE,chr21,45705721,45718531
TRHDE,chr12,72481046,73059422
CLIP1,chr12,122755979,122907179
IGLV7-43,chr22,22749356,22749827
IL2RB,chr22,37521878,37571094
B3GAT3,chr11,62382768,62389647
FOXC1,chr6,1610681,1614127
POLR3G,chr5,89767565,89810370
IGLV1-40,chr22,22764098,22764614
CCDC152,chr5,42756903,42802462
MED22,chr9,136205160,136214986
IGLV5-37,chr22,22781876,22782371
TESC,chr12,117476728,117537284
ANAPC16,chr10,73975787,73995618
IGLV1-36,chr22,22786296,22786802
OR13J1,chr9,35869375,35870461
DHRS7C,chr17,9674751,9694614
AKR1C7P,chr10,5317136,5330433
HRCT1,chr9,35906189,35907138
BAZ2B,chr2,160175490,160473203
CRYGN,chr7,151125921,151137899
ANKRD61,chr7,6071007,6076017
OR2S2,chr9,35957105,35958151
ZNF280B,chr22,22838767,22863505
POMK,chr8,42948658,42978577
OR13C7P,chr9,36002906,36003864
FLYWCH2,chr16,2933187,2949383
TSG101,chr11,18489883,18548779
PCDH8,chr13,53418109,53422775
SLC22A16,chr6,110745890,110797844
DHDDS,chr1,26758773,26797785
TP53BP2,chr1,223967601,224033674
ZNF280A,chr22,22868060,22874613
MIR4723,chr17,26687677,26687757
PTPN20A,chr10,46549955,46641045
HMGN1P8,chr3,167412143,167412430
RECK,chr9,36036430,36124448
KAT8,chr16,31127075,31142714
C1QTNF6,chr22,37576207,37595425
NUDT3,chr6,34247456,34360451
GPR156,chr3,119883492,120003941
ZNF132,chr19,58944181,58951589
TVP23CP1,chr7,90261220,90261882
MEMO1P3,chr3,167606202,167606503
PTP4A1P3,chr7,90736689,90737108
H3F3BP2,chr17,26743940,26744510
CLEC7A,chr12,10269376,10282857
CALML3-AS1,chr10,5556207,5568209
FRAS1,chr4,78978724,79465423
PARPBP,chr12,102513956,102591298
CPT1A,chr11,68522088,68611878
SSH2,chr17,27952956,28257294
NIPA2P1,chr7,90949443,90950418
RPS10-NUDT3,chr6,34256547,34393825
SEPP1,chr5,42799982,42887494
RPS7P1,chr17,26794814,26795460
USP42,chr7,6144515,6201195
ZNF324B,chr19,58962971,58969200
ANKRD63,chr15,40573645,40574787
RN7SL445P,chr10,5673426,5673716
RPL9,chr4,39455744,39460568
SPINK14,chr5,147549296,147554961
LZTFL1,chr3,45864808,45957534
SSTR3,chr22,37600278,37608362
PHYHIP,chr8,22077222,22089854
GOLGA3,chr12,133345495,133405444
NRBF2P5,chr10,5818034,5818821
PKM,chr15,72491370,72524164
OLFM4,chr13,53602894,53626192
RPS10,chr6,34385231,34393902
PRAME,chr22,22890123,22901768
PARP10,chr8,145051321,145086940
SPINK6,chr5,147582357,147594700
C15orf52,chr15,40623653,40633168
RPL7A,chr9,136215069,136218281
FLYWCH1,chr16,2961938,3001209
TTN,chr2,179390716,179695529
SERINC4,chr15,44086360,44092419
CHRNG,chr2,233404437,233411113
RAC2,chr22,37621301,37640488
MEA1,chr6,42979832,42981706
FOXP1,chr3,71003844,71633140
GLP2R,chr17,9725523,9795419
PRR20A,chr13,57715052,57718073
TDRKH,chr1,151742583,151763892
ANGPTL3,chr1,63063158,63071830
FBXO21,chr12,117581146,117628336
UBA1,chrX,47050260,47074527
RN7SKP78,chr10,6191586,6191903
MIR3155A,chr10,6194159,6194240
GLIPR2,chr9,36136732,36163910
TIGD1,chr2,233412779,233415226
PRR20B,chr13,57721622,57724643
HRC,chr19,49654455,49658681
SMCHD1,chr18,2655737,2805015
POLR3D,chr8,22102617,22112113
SPAG5-AS1,chr17,26925808,26944393
KLHDC3,chr6,42981951,42989036
CAD,chr2,27440258,27466811
PHGR1,chr15,40643234,40648635
H2AFB1,chrX,154113317,154113833
F8A1,chrX,154114635,154116335
C10orf129,chr10,96953957,96988685
LYSMD3,chr5,89811428,89825401
PRR20C,chr13,57728195,57731216
MRPL21,chr11,68658744,68671303
RHEB,chr7,151163098,151217206
HYPK,chr15,44088340,44095241
DISP2,chr15,40650436,40663257
SLC44A2,chr19,10713133,10755235
EIF4E2,chr2,233414762,233448354
CCIN,chr9,36169389,36171329
TLR3,chr4,186990306,187009223
GRINA,chr8,145064226,145067583
CYTH4,chr22,37678068,37711382
MSI2,chr17,55333212,55762046
GANAB,chr11,62392298,62414104
PCSK7,chr11,117075053,117103241
MFAP1,chr15,44096690,44117000
LRRC58,chr3,120043356,120068186
PRR20D,chr13,57734766,57737787
WDR88,chr19,33622996,33666701
HMGN2P26,chr3,167676532,167676870
DOPEY1,chr6,83777385,83881069
GMDS,chr6,1624041,2245926
ATG4C,chr1,63249806,63331184
HGSNAT,chr8,42995556,43057998
PRR20E,chr13,57741331,57744352
FUNDC2,chrX,154254255,154288578
KNSTRN,chr15,40674922,40686447
CLTA,chr9,36190853,36304778
KREMEN2,chr16,3013945,3018384
SDCBPP1,chr10,6335063,6336647
LRP3,chr19,33668509,33698694
RAB33A,chrX,129305623,129318844
FBXO28,chr1,224301789,224349749
PCDH17,chr13,58205944,58303445
PIGH,chr14,68048672,68067004
ST5,chr11,8714898,8932498
PRKCQ-AS1,chr10,6622381,6658414
MRPS27,chr5,71515236,71616473
DST,chr6,56322785,56819426
C1orf86,chr1,2115903,2144159
UVSSA,chr4,1341054,1381837
WDR76,chr15,44119161,44160617
RAD52,chr12,1021243,1099219
SURF1,chr9,136218610,136223552
SRP68,chr17,74035184,74068734
ZNF280C,chrX,129336685,129402873
IGLV2-33,chr22,22930626,22931145
HACL1,chr3,15602211,15643338
LINC00707,chr10,6821560,6884868
DLK1,chr14,101192042,101201539
DDIT4,chr10,74033678,74035794
IGLV3-32,chr22,22936998,22937501
NAA20,chr20,19997760,20014299
SPATC1,chr8,145086582,145101933
SLC7A10,chr19,33699570,33716756
DEGS1,chr1,224363458,224381143
COX6CP17,chr10,7337068,7337252
ABHD14A-ACY1,chr3,52009066,52023199
TRPM4,chr19,49660998,49715093
ELFN2,chr22,37764000,37823505
ITGB1BP1,chr2,9543604,9563676
EXOSC4,chr8,145133529,145135550
GGTLC2,chr22,22988780,22990368
GPR98,chr5,89825161,90460038
FAM170A,chr5,118965254,118971517
CEP72,chr5,612387,667283
PRSS8,chr16,31142756,31147083
CDK19,chr6,110931181,111137161
PPP1R35,chr7,100032905,100034188
TGOLN2,chr2,85545147,85555548
FOXD3,chr1,63788730,63790797
MTCP1,chrX,154289897,154376212
RNF214,chr11,117103341,117157161
MFNG,chr22,37865101,37882439
RNU6-535P,chr10,7528665,7528771
TNMD,chrX,99839799,99854882
SEMA3A,chr7,83585093,84122040
CEBPA,chr19,33790840,33793470
SDHAP1,chr3,195686619,195717189
SURF2,chr9,136223428,136228045
SIGLEC15,chr18,43405477,43424045
CEBPG,chr19,33864236,33873592
RRP36,chr6,42989383,43001894
MIR1285-1,chr7,91833329,91833412
TMBIM7P,chr7,92042290,92068876
ALG6,chr1,63833261,63904233
IGHMBP2,chr11,68671310,68708070
WBP1L,chr10,104503727,104576021
TSPAN6,chrX,99883667,99894988
RNU6-10P,chr7,92331022,92331128
PRSS36,chr16,31150246,31161415
PIWIL2,chr8,22132810,22215076
RPL30,chr8,99037079,99058697
GNE,chr9,36214438,36277053
PFKL,chr21,45719934,45747259
RN7SL7P,chr7,92600318,92600613
CRNKL1,chr20,20015012,20036690
MIR653,chr7,93112072,93112167
MIR489,chr7,93113248,93113331
GPAA1,chr8,145137493,145141119
FRMD5,chr15,44162962,44487450
RNF167,chr17,4843303,4848517
CYP17A1,chr10,104590288,104597290
DNAJB12,chr10,74092588,74114988
ATXN7L3B,chr12,74931551,74935223
MIR4652,chr7,93346240,93346317
ASAH2B,chr10,52499078,52576255
PKMYT1,chr16,3018025,3030540
SURF4,chr9,136228325,136242970
PEPD,chr19,33877856,34012700
ARG2,chr14,68086515,68118437
IGLV3-27,chr22,23010758,23011276
STAT4,chr2,191894302,192016322
SPINK13,chr5,147647743,147665817
IGLV3-25,chr22,23029190,23029735
IGLV2-23,chr22,23040274,23040892
SUPT16H,chr14,21819631,21852425
CARD10,chr22,37886400,37915549
PROC,chr2,128176003,128186822
IGLV3-22,chr22,23046750,23047307
